,Presence of Investment Promotion Unit,Land Use Plan,Population,Local Economy Growth,Availability of Basic Utilities,Budget for DRRMP,Capacity of School Services,Transportation Vehicles,Education,Poverty_Incidents,Cluster_Id
Asturias,0.0,0.97144,0.07632996683738273,0.0022650911699195887,0.8400000000000001,0.004932344672245689,0.07503067430508338,0.009600457075419759,0.06676601070244936,0.30321660330257466,1
Asuncion,1.0,0.9743600000000001,0.1007556508931432,0.011174449771603305,0.30308,0.05124158076166355,0.0838578124586226,0.016156866785462517,0.03253067329970405,0.20285297620184808,2
Atimonan,1.0,0.9818,0.11607826047642697,0.007097285665748045,0.86176,0.04466512119866929,0.28193879262404276,0.032782048550213806,0.12046292994824906,0.04976023537053666,2
Atok,0.0,0.7892000000000001,0.027274993351501305,0.0022650911699195887,0.87252,0.10522335300790803,0.0681455065453228,0.0,0.046594152149794454,0.20973068668844608,1
Aurora (IA),1.0,0.94872,0.056776890031275264,0.002567103325908867,0.8851200000000001,0.005206363820703783,0.0850936118001181,0.036060253405235186,0.05099786774931771,0.11509848499321781,2
Aurora (ZR),0.25,0.96364,0.08527120114049597,0.002416097247914228,0.03644,0.006302440414536158,0.0,0.01990338661977267,0.07926688079141861,0.35161530672678293,1
Ayungon,0.25,0.9,0.07362566981382533,0.09754992638453697,0.779,0.05891411691849017,0.10980959863002791,0.006556409710042761,0.033240950009304576,0.36053085735755813,1
Baao,1.0,0.7282000000000001,0.10005956414319278,0.002567103325908867,0.73,0.005206363820703783,0.2805264505194765,0.0672031995279383,0.20754285454527346,0.30576390348279614,2
Babatngon,0.7996400000000001,0.97716,0.041421216327368844,0.000604024311978557,0.57084,0.006576459562994252,0.044135690767696106,0.00023415748964438434,0.020171858552654916,0.3939004897184596,2
Bacacay,1.0,0.9454400000000001,0.11295979183664906,0.00015100607799463925,0.99996,0.05946215521540636,0.3377263057544106,0.7291664227526128,0.3699121103599535,0.3733947232676767,2
Bacarra,1.0,0.96924,0.04910949448057131,0.0019630790139303104,0.8453200000000001,0.006576459562994252,0.09144915127066633,0.05596364002500785,0.06378284852212716,0.015753777964579798,2
Baclayon,0.5,0.9485600000000001,0.02888121352701191,0.0015100607799463925,0.875,0.006850478711452346,0.06002453944406671,0.03395283599843573,0.04687826283363466,0.11471638996618458,2
Bacnotan,1.0,0.99092,0.06890620164916143,0.003926158027860621,0.75068,0.05891411691849017,0.08015041443413613,0.04893891533567632,0.08324443036518155,0.0,2
Baco,1.0,0.9885600000000001,0.057810578854951646,0.0037751519498659815,0.8775200000000001,0.006576459562994252,0.11934290783585026,0.017795969212973207,0.16109075773739912,0.1862955250304084,2
Bacolod (LN),1.0,0.9948800000000001,0.03313256335233414,0.0022650911699195887,0.8675200000000001,0.006850478711452346,0.18042670385834167,0.06931061693473776,0.15768142953131659,0.2321469282743952,2
Bacolod (NO),1.0,1.0,1.0,0.8343085809203818,0.9576800000000001,0.32197249943826023,1.0,0.8654460817256444,0.6501872999683207,0.05740213591120112,0
Bacolod-Kalawi,0.25,1.0,0.02931626774573093,0.013137528785533615,0.91252,0.006850478711452346,0.04925543089674886,0.04378745056349987,0.011648538037448614,0.8205732699055588,1
Bacolor,1.0,0.9885600000000001,0.07669367216423183,0.001661066857941032,0.86252,0.006850478711452346,0.27734868078420233,0.04004093072918972,0.2848209605498106,0.018301078144801277,2
Bacong,0.0,0.2,0.056613309645036906,0.008305334289705158,0.9,0.009042631899117096,0.04184063484777591,0.012878661930441137,0.043184823943711925,0.14910494239917468,1
Bacoor,1.0,0.97272,1.0,0.11038544301408129,0.99424,0.7020370583496364,0.9120199140236722,0.9633239123969971,1.0,0.021739933388100287,0
Bacuag,0.79988,0.78888,0.018257189505893525,0.006795273509758766,0.8475199999999999,0.01068674678986566,0.15059097689937911,0.00702472468933153,0.17103463167180644,0.37657884849295353,2
Bacungan Leon B. Postigo,0.25,0.9885600000000001,0.04114626206113843,0.002416097247914228,0.40668,0.006850478711452346,0.03830977958636022,0.00023415748964438434,0.014631700217770818,0.6823822351285431,1
